,0,1,2,3,4,5,6,7
286,Lakshmi Machine,6678.00,2.75,1421,0.00,0.00,0.00,0.00
287,Larsen,1465.55,-0.79,82225,0.00,0.00,0.00,0.00
288,Laurus Labs,523.05,0.25,76685,0.00,0.00,0.00,0.00
289,Lemon Tree Hote,41.80,0.48,153585,0.00,0.00,0.00,0.00
290,LIC Housing Fin,466.20,2.27,395777,0.00,0.00,0.00,0.00
291,Linde India,1596.05,-1.64,3285,0.00,0.00,0.00,0.00
292,Lupin,1218.00,0.77,82075,0.00,0.00,0.00,0.00
293,Lux Industries,3105.15,-4.67,17808,0.00,0.00,0.00,0.00
294,M&M,807.90,-4.53,871183,0.00,0.00,0.00,0.00
295,M&M Financial,162.85,1.94,870998,0.00,0.00,0.00,0.00
296,Mah Scooters,3717.55,-0.50,650,0.00,0.00,0.00,0.00
297,Mah Seamless,296.20,0.47,3356,0.00,0.00,0.00,0.00
298,Mahanagar Gas,1190.05,1.28,60039,0.00,0.00,0.00,0.00
299,Mahindra CIE,200.20,3.78,32407,0.00,0.00,0.00,0.00
300,Mahindra Holida,260.00,0.62,80649,0.00,0.00,0.00,0.00
301,Mahindra Life,523.25,0.37,2428,0.00,0.00,0.00,0.00
302,Mahindra Logist,546.75,3.21,21797,0.00,0.00,0.00,0.00
303,Manappuram Fin,162.80,4.09,971430,0.00,0.00,0.00,0.00
304,Marico,475.10,0.88,64076,0.00,0.00,0.00,0.00
305,Maruti Suzuki,7087.35,1.89,35730,0.00,0.00,0.00,0.00
306,MAS Financial S,925.05,0.26,11704,0.00,0.00,0.00,0.00
307,Max Financial,941.00,0.70,16650,0.00,0.00,0.00,0.00
308,MCX India,1550.50,0.16,6529,0.00,0.00,0.00,0.00
309,Metropolis,2582.95,2.74,36226,0.00,0.00,0.00,0.00
310,Minda Corp,125.70,10.65,444776,0.00,0.00,0.00,0.00
311,Minda Ind,604.75,4.50,85746,0.00,0.00,0.00,0.00
312,Mindtree,2393.10,1.46,58070,0.00,0.00,0.00,0.00
313,Mishra Dhatu Ni,191.65,0.13,25218,0.00,0.00,0.00,0.00
314,MMTC Ltd,59.80,7.94,1378603,0.00,0.00,0.00,0.00
315,MOIL,180.60,4.57,302642,0.00,0.00,0.00,0.00
316,Motherson Sumi,240.15,2.10,366734,0.00,0.00,0.00,0.00
317,Motilal Oswal,810.40,-0.12,15944,0.00,0.00,0.00,0.00
318,MphasiS,1943.85,0.16,13735,0.00,0.00,0.00,0.00
319,MRF,83699.75,0.42,458,0.00,0.00,0.00,0.00
320,MRPL,49.45,-1.10,334891,0.00,0.00,0.00,0.00
321,Muthoot Finance,1311.75,3.54,104443,0.00,0.00,0.00,0.00
322,NALCO,73.75,2.29,4495093,0.00,0.00,0.00,0.00
323,Narayana Hruda,439.45,2.21,52696,0.00,0.00,0.00,0.00
324,Natco Pharma,1051.35,-1.02,48039,0.00,0.00,0.00,0.00
325,Nava Bharat Ven,86.35,-2.10,72549,0.00,0.00,0.00,0.00
326,Navin Fluorine,3223.00,0.48,6924,0.00,0.00,0.00,0.00
327,Navneet,84.85,1.13,51662,0.00,0.00,0.00,0.00
328,NBCC (India),47.55,-2.16,882159,0.00,0.00,0.00,0.00
329,NCC,80.95,-2.94,475658,0.00,0.00,0.00,0.00
330,NESCO,545.20,-2.47,12840,0.00,0.00,0.00,0.00
331,Nestle,17692.70,1.06,1861,0.00,0.00,0.00,0.00
332,Network 18,40.60,-0.49,74127,0.00,0.00,0.00,0.00
333,New India Assur,163.40,0.00,28969,0.00,0.00,0.00,0.00
334,NHPC,26.00,0.19,5814892,0.00,0.00,0.00,0.00
335,Nilkamal,2200.00,0.35,693,0.00,0.00,0.00,0.00
336,Nippon,370.35,6.18,342264,0.00,0.00,0.00,0.00
337,NLC India,60.15,-0.17,255157,0.00,0.00,0.00,0.00
338,NMDC,182.15,1.65,494819,0.00,0.00,0.00,0.00
339,NOCIL,206.35,2.18,45272,0.00,0.00,0.00,0.00
340,NTPC,110.50,1.42,437522,0.00,0.00,0.00,0.00
341,Oberoi Realty,604.60,3.22,43652,0.00,0.00,0.00,0.00
342,Oil India,132.45,-0.34,69715,0.00,0.00,0.00,0.00
343,Omaxe,79.05,-2.23,6700,0.00,0.00,0.00,0.00
344,ONGC,113.65,1.11,1522146,0.00,0.00,0.00,0.00
345,Oracle Fin Serv,3480.00,-1.23,10744,0.00,0.00,0.00,0.00
346,Orient Cement,137.90,-3.30,53808,0.00,0.00,0.00,0.00
347,Orient Electric,305.45,1.14,24574,0.00,0.00,0.00,0.00
348,Orient Refract,315.00,2.77,24817,0.00,0.00,0.00,0.00
349,P and G,13100.00,0.12,209,0.00,0.00,0.00,0.00
350,Page Industries,30780.15,-1.97,2036,0.00,0.00,0.00,0.00
351,Persistent,2544.95,2.65,9462,0.00,0.00,0.00,0.00
352,Petronet LNG,241.55,0.44,131995,0.00,0.00,0.00,0.00
353,Pfizer,5137.60,0.15,3548,0.00,0.00,0.00,0.00
354,Phillips Carbon,218.10,-2.53,371389,0.00,0.00,0.00,0.00
355,Phoenix Mills,790.55,3.20,34213,0.00,0.00,0.00,0.00
356,PI Industries,2619.65,0.66,7521,0.00,0.00,0.00,0.00
357,Pidilite Ind,2089.15,1.31,35539,0.00,0.00,0.00,0.00
358,Piramal Enter,1804.05,0.95,87891,0.00,0.00,0.00,0.00
